ID_code,Location,Lat,Long,Elevation,Location.description,Notes,Alex.GPS.point,Collector,Avg.Temp,Julyhigh,Julylow,JulyPrecip(mm),GroupName,Group,QubitPCR.Conc,Ext.Qubit.conc.,Ext.260.280,Ext.260.230,Volume.to.pool.1,Leaf_date,Weight.of.sample..mg.,Numb.leaves,Leaf_weight,Sampling.Notes.y,DOY,Date,Flowering.date,Pop,Id,Pop_shift,Lat_shift,Long_shift,LocationName,Ice_time
Pop025_10,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,74.2,212,,,3.369272237,,,,,,232,Aug202017,,25,10,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
Pop025_11,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,70.4,111,,,3.551136364,,,,,,232,Aug202017,,25,11,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
Pop025_12,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,68.2,252,,,3.66568915,,,,,,232,Aug202017,,25,12,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
Pop025_15,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,59.6,70.2,1.49,0.91,4.194630872,2018-03-08,25,25,1,,232,Aug202017,,25,15,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
Pop025_20,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,53.2,268,,,4.69924812,,,,,,232,Aug202017,,25,20,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
Pop025_24,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,74.6,33,1.82,1.62,3.351206434,2018-03-08,25,21,1.19047619,,232,Aug202017,,25,24,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
Pop025_5,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,85.8,21.8,1.73,1.28,2.913752914,2018-03-08,24,30,0.8,,232,Aug202017,,25,5,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
Pop025_6,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,77,230,,,3.246753247,,,,,,232,Aug202017,,25,6,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
Pop025_7,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,73.4,270,,,3.40599455,,,,,,232,Aug202017,,25,7,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
Pop025_9,Itilleq,66.5326,-53.41563333,20,25,,,RodgerBull,10.5,11,5,30,GREEN,Greenland,72.6,206,,,3.443526171,,,,,,232,Aug202017,,25,9,O25,63.7,-53.5,ItilleqFiordGreenland,11.5
