ID_code O.HOM. E.HOM. N_SITES F
Pop025_10 5993 7170.8 10137 -0.39708
Pop025_11 6078 7175.9 10143 -0.37003
Pop025_12 7128 7152.6 10112 -0.0083
Pop025_15 6634 7128.6 10083 -0.16742
Pop025_20 6977 7133 10086 -0.05283
Pop025_24 7394 7101.9 10041 0.09938
Pop025_5 7227 7145.1 10100 0.0277
Pop025_6 4994 7182.4 10151 -0.73716
Pop025_7 7083 7173.7 10139 -0.03058
Pop025_9 6802 7177.3 10144 -0.12651
Pop025_10 5993 7170.8 10137 -0.39708
Pop025_11 6078 7175.9 10143 -0.37003
Pop025_12 7128 7152.6 10112 -0.0083
Pop025_15 6634 7128.6 10083 -0.16742
Pop025_20 6977 7133 10086 -0.05283
Pop025_24 7394 7101.9 10041 0.09938
Pop025_5 7227 7145.1 10100 0.0277
Pop025_6 4994 7182.4 10151 -0.73716
Pop025_7 7083 7173.7 10139 -0.03058
Pop025_9 6802 7177.3 10144 -0.12651
PopAlexNew_21 8424 8535.3 11563 -0.03677
PopAlexNew_24 8480 8503.5 11519 -0.00781
PopAlexNew_28 8407 8512.1 11534 -0.03477
PopAlexNew_32 7572 8531.3 11560 -0.31673
PopAlexNew_33 7333 8533.6 11564 -0.39619
PopAlexNew_36 8558 8528.6 11553 0.00972
PopAlexNew_42 8482 8523.7 11545 -0.01381
PopAlexNew_46 9481 8506.6 11522 0.32314
PopAlexNew_47 8369 8515.4 11540 -0.04839
PopAlexNew_49 7832 8554.1 11591 -0.23778
PopAlexNew_51 8070 8480.5 11494 -0.13621
PopAlexNew_68 9362 8472.9 11483 0.29536
PopAlexNew_6 8312 8525.6 11552 -0.07057
PopAlexNew_73 8548 8495.6 11511 0.01737
PopAlexOld_24 4034 5007.2 7680 -0.3641
PopAlexOld_30 4795 4714.7 7206 0.03222
PopAlexOld_33 4791 4700.5 7206 0.03613
PopAlexOld_37 5867 4983.9 7640 0.33248
PopAlexOld_39 5466 4678.9 7145 0.31917
PopAlexOld_89 4852 4978 7630 -0.04752
PopATQ_17 7550 9009.9 12599 -0.40675
PopATQ_18 9009 8987.9 12569 0.00588
PopATQ_19 9100 8967.4 12543 0.03709
PopATQ_21 8978 8982.5 12563 -0.00125
PopATQ_22 7483 9002.8 12593 -0.42332
PopATQ_23 8927 8964.4 12536 -0.01047
PopATQ_25 8042 9008.9 12598 -0.26938
PopATQ_30 9149 9011.9 12603 0.03818
PopATQ_36 9063 8984.3 12565 0.02199
PopATQ_37 9020 8993.3 12577 0.00744
PopAXE_11 6204 6326.2 8960 -0.04641
PopAXE_13 6256 6354.2 8992 -0.03722
PopAXE_14 6152 6334.4 8968 -0.06925
PopAXE_21 6092 6359.9 9005 -0.10126
PopAXE_26 6097 6202.1 8774 -0.04086
PopAXE_27 6246 6330.7 8958 -0.03223
PopAXE_2 6125 6335.4 8968 -0.07992
PopAXE_34 6251 6340.5 8978 -0.03395
PopAXE_6 6277 6256.8 8858 0.00776
PopBARD_10 8709 8853.2 12265 -0.04228
PopBARD_11 7951 8945.6 12394 -0.28841
PopBARD_14 7281 8897.7 12331 -0.47091
PopBARD_15 8806 8897.4 12328 -0.02664
PopBARD_16 8906 8904.1 12337 0.00055
PopBARD_1 8519 8947.6 12396 -0.1243
PopBARD_2 8854 8937.2 12383 -0.02415
PopBARD_37 8807 8841.3 12250 -0.01007
PopBARD_38 8743 8899.1 12328 -0.04551
PopBARD_9 8760 8937.9 12383 -0.05164
PopBY1_14 6666 7016.5 10010 -0.11709
PopBY1_1 6916 7005.8 9996 -0.03002
PopBY1_5 6847 7021.2 10017 -0.05815
PopBY1_7 6728 7001.6 9985 -0.09171
PopBY2_12 6821 6984.7 9959 -0.05502
PopBY2_3 6639 7006 9996 -0.12275
PopBY2_9 6877 7006.8 9995 -0.04342
PopBY3_14 7022 6987.4 9965 0.01162
PopBY3_18 6816 6997.3 9982 -0.06073
PopBY3_19 6833 7004.5 9992 -0.05739
PopCR_10 7135 7369.2 10491 -0.07502
PopCR_12 8631 7336.5 10440 0.41712
PopCR_13 7284 7355.7 10469 -0.02304
PopCR_17 7255 7385 10513 -0.04156
PopCR_1 7356 7373.9 10496 -0.00572
PopCR_2 7224 7350.8 10463 -0.04074
PopCR_4 7366 7364.5 10485 0.00046
PopCR_5 5739 7386.4 10515 -0.52658
PopCR_7 7372 7356.5 10474 0.00497
PopCR_9 7091 7349.9 10461 -0.08321
PopDEN_15 7855 7834.4 11108 0.00631
PopDEN_1 7854 7839.5 11116 0.00442
PopDEN_2 7250 7842.5 11127 -0.18039
PopDEN_2u 7816 7874.6 11161 -0.01782
PopDEN_3 8021 7832.9 11103 0.05753
PopDEN_3u 6097 7897.2 11196 -0.54572
PopDEN_4 7649 7869 11154 -0.06696
PopDEN_4u 7469 7883.6 11176 -0.12592
PopDEN_55 7720 7831.6 11110 -0.03404
PopDEN_5 7729 7858.2 11140 -0.03937
PopDLG_10 2836 3495.3 5387 -0.34851
PopDLG_11 2289 3507.1 5404 -0.64215
PopDLG_12 2319 3499.7 5392 -0.62394
PopDLG_13 1996 3514.6 5414 -0.79949
PopDLG_14 2330 3508.6 5405 -0.62147
PopDLG_16 2287 3499.2 5392 -0.6404
PopDLG_17 2308 3502 5396 -0.63045
PopDLG_7 2350 3507.3 5403 -0.61045
PopDLG_8 2336 3502.8 5396 -0.61633
PopDLG_9 2336 3507.4 5405 -0.61731
PopDQG_10 6061 6439.5 8980 -0.14901
PopDQG_11 6123 6430.4 8970 -0.12106
PopDQG_12 4660 6443.4 8988 -0.70083
PopDQG_13 6184 6424.9 8963 -0.09494
PopDQG_14 6128 6425 8960 -0.11715
PopDQG_1 6219 6441.2 8986 -0.08731
PopDQG_2 6187 6439 8981 -0.09915
PopDQG_3 5997 6433.5 8975 -0.17175
PopDQG_4 6237 6427.7 8967 -0.07512
PopDQG_6 7064 6430.7 8969 0.24949
PopFOS_2 3854 4085.1 6855 -0.08343
PopFOS_3 3975 3898 6502 0.02957
PopFOS_7 4084 4060.8 6803 0.00845
PopFOS_8 4003 4092.8 6872 -0.03231
PopGEN_10 1554 2149.1 3407 -0.47304
PopGEN_1 1517 2169.6 3449 -0.51007
PopGEN_2 1588 2229.6 3560 -0.48225
PopGEN_3 1560 2172 3440 -0.48264
PopGEN_5 1563 2183.8 3458 -0.48721
PopGEN_6 1486 2088.6 3315 -0.49137
PopGEN_7 1573 2128 3380 -0.4433
PopGEN_8 1581 2176.6 3464 -0.46261
PopGEN_9 1556 2097.6 3328 -0.44017
PopGF_1 2223 2277 5062 -0.01939
