Individual Code,Number of SNPs missing (total 10339),Percentage missing SNPs
Pop025_10,16,0.15
Pop025_11,7,0.07
Pop025_12,21,0.20
Pop025_15,31,0.30
Pop025_20,38,0.37
Pop025_24,66,0.64
Pop025_5,38,0.37
Pop025_6,2,0.02
Pop025_7,12,0.12
Pop025_9,13,0.13
PopAlexNew_21,29,0.28
PopAlexNew_24,29,0.28
PopAlexNew_28,38,0.37
PopAlexNew_32,14,0.14
PopAlexNew_33,10,0.10
PopAlexNew_36,32,0.31
PopAlexNew_42,24,0.23
PopAlexNew_46,53,0.51
PopAlexNew_47,24,0.23
PopAlexNew_49,5,0.05
PopAlexNew_51,70,0.68
PopAlexNew_68,85,0.82
PopAlexNew_6,20,0.19
PopAlexNew_73,43,0.42
PopAlexOld_21,2732,26.42
PopAlexOld_24,13,0.13
PopAlexOld_30,655,6.34
PopAlexOld_33,630,6.09
PopAlexOld_37,61,0.59
PopAlexOld_39,880,8.51
PopAlexOld_50,1374,13.29
PopAlexOld_56,3260,31.53
PopAlexOld_66,2151,20.80
PopAlexOld_89,84,0.81
PopATQ_17,10,0.10
PopATQ_18,31,0.30
PopATQ_19,39,0.38
PopATQ_21,39,0.38
PopATQ_22,14,0.14
PopATQ_23,42,0.41
PopATQ_25,13,0.13
PopATQ_30,33,0.32
PopATQ_36,30,0.29
PopATQ_37,29,0.28
PopAXE_11,89,0.86
PopAXE_13,44,0.43
PopAXE_14,44,0.43
PopAXE_21,45,0.44
PopAXE_26,344,3.33
PopAXE_27,90,0.87
PopAXE_2,60,0.58
PopAXE_34,63,0.61
PopAXE_6,116,1.12
PopBARD_10,70,0.68
PopBARD_11,1,0.01
PopBARD_14,18,0.17
PopBARD_15,30,0.29
PopBARD_16,36,0.35
PopBARD_1,2,0.02
PopBARD_2,4,0.04
PopBARD_37,75,0.73
PopBARD_38,52,0.50
PopBARD_9,10,0.10
PopBY1_14,9,0.09
PopBY1_1,18,0.17
PopBY1_5,4,0.04
PopBY1_7,26,0.25
PopBY2_12,39,0.38
PopBY2_3,23,0.22
PopBY2_9,18,0.17
PopBY3_14,34,0.33
PopBY3_18,31,0.30
PopBY3_19,24,0.23
PopCR_10,22,0.21
PopCR_12,56,0.54
PopCR_13,60,0.58
PopCR_17,14,0.14
PopCR_1,29,0.28
PopCR_2,33,0.32
PopCR_4,17,0.16
PopCR_5,2,0.02
PopCR_7,54,0.52
PopCR_9,40,0.39
PopDEN_15,75,0.73
PopDEN_1,76,0.74
PopDEN_2,43,0.42
PopDEN_2u,28,0.27
PopDEN_3,60,0.58
PopDEN_3u,4,0.04
PopDEN_4,30,0.29
PopDEN_4u,18,0.17
PopDEN_55,65,0.63
PopDEN_5,46,0.44
PopDLG_10,37,0.36
PopDLG_11,17,0.16
PopDLG_12,13,0.13
PopDLG_13,0,0.00
PopDLG_14,14,0.14
PopDLG_16,11,0.11
PopDLG_17,11,0.11
PopDLG_7,12,0.12
PopDLG_8,12,0.12
PopDLG_9,4,0.04
PopDQG_10,25,0.24
PopDQG_11,17,0.16
PopDQG_12,10,0.10
PopDQG_13,28,0.27
PopDQG_14,33,0.32
PopDQG_1,14,0.14
PopDQG_2,14,0.14
PopDQG_3,21,0.20
PopDQG_4,21,0.20
PopDQG_6,24,0.23
PopEUR_1,31,0.30
PopEUR_21,8857,85.67
PopEUR_22,49,0.47
PopEUR_34,64,0.62
PopEUR_5,49,0.47
PopFOS_2,73,0.71
PopFOS_3,915,8.85
PopFOS_7,243,2.35
PopFOS_8,45,0.44
PopGEN_10,749,7.24
PopGEN_1,641,6.20
PopGEN_2,519,5.02
PopGEN_3,732,7.08
PopGEN_4,977,9.45
PopGEN_5,705,6.82
PopGEN_6,812,7.85
PopGEN_7,792,7.66
PopGEN_8,689,6.66
PopGEN_9,814,7.87
PopGF_1,140,1.35
PopGF_3,6112,59.12
PopGF_4,35,0.34
PopGF_5,1365,13.20
PopHAR_13,1248,12.07
PopHAR_1,2780,26.89
PopHAR_21,2378,23.00
PopHAR_27,742,7.18
PopHAR_30,84,0.81
PopHAR_6,60,0.58
PopHAR_8,2532,24.49
PopHAZ_18,66,0.64
PopHAZ_20,10,0.10
PopHAZ_22,41,0.40
PopHAZ_24,82,0.79
PopHAZ_26,33,0.32
PopHAZ_29,34,0.33
PopHAZ_33,37,0.36
PopHAZ_34,28,0.27
PopHAZ_6,37,0.36
