Pop SumPi SD_Pi var_Pi
025 19.668072694 0.00251401654300503 6.32027917850298e-06
AlexNew 20.05664646 0.00239698599153096 5.74554184359566e-06
AlexOld 16.610209629 0.00240872642664745 5.80196299842979e-06
ATQ 23.803006147 0.00243860517471977 5.94679519817006e-06
AXE 17.3070644015 0.0024312051298571 5.9107583834435e-06
BARD 22.799163395 0.00238369129850894 5.68198420658724e-06
BY 19.852508285 0.00249060611996428 6.20311884480352e-06
CR 20.707399513 0.00245122230102267 6.00849076903088e-06
DEN 21.783265686 0.00246497048093039 6.07607947185818e-06
DLG 12.613692355 0.00281173051639836 7.9058284968458e-06
DQG 16.88805493 0.00250257063669656 6.26285979165583e-06
FOS 17.788430332 0.00259302366818371 6.72377174376092e-06
GEN 8.1039155628 0.00384282060288096 1.47672701859264e-05
GF 18.56025073 0.00301874849490333 9.11284247548112e-06
HAZ 20.001899079 0.00240465460963046 5.78236379161704e-06
IG 18.552505247 0.00250674105394376 6.28375071152707e-06
IMN 23.388994282 0.00243916338266239 5.94951800732102e-06
Iq 19.819704853 0.0024464719833076 5.985225165109e-06
Kik 19.918514849 0.00247335967953634 6.11750810435609e-06
KL 34.610393653 0.00282130419624692 7.95975736776047e-06
KUQ 21.353979386 0.00251672916108358 6.33392567024845e-06
LAJ 18.051200651 0.00251036769128385 6.3019459454418e-06
LON 18.17062286 0.00239470954253546 5.73463379311041e-06
MAT 24.782800256 0.00247662943136115 6.13369334028426e-06
MIL 23.050057916 0.00244185178621055 5.96264014581967e-06
MNT 23.545055285 0.00244293197126816 5.96791661624412e-06
PC 29.018856503 0.00261351651740257 6.83046858673606e-06
PEA 20.210628825 0.00249999367919914 6.24996839603566e-06
PET 18.269638077 0.00254065573190909 6.45493154808254e-06
QHI 24.11988839 0.00247242659116665 6.11289324870794e-06
SAG 22.999562758 0.002424557364188 5.87847841223827e-06
SAM 18.640086605 0.00250859807012497 6.2930642774347e-06
SVN 13.67333028 0.00503150922224477 2.53160850535341e-05
SVO 16.94666258 0.00505198142598932 2.55225163285411e-05
SW 18.451283515 0.00247261967885769 6.11384807627429e-06
YAM 19.656391624 0.00246459427855762 6.07422495789898e-06
YED 20.478473 0.00247111062164782 6.10638770442065e-06
ZAC 19.409961513 0.00252826588649494 6.39212839281403e-06
