Pop,Pop_name,Group,Lat,Long,Ice_time,Ice_time2,Clim_distance,tavg,tmin,tmax,prcp,snwd,wfsg,tavglong,tminlong,tmaxlong,prcplong,snwdlong,wfsglong
25,ItilleqFiordGreenland,Greenland,66.5326,-53.41563333,11.5,11.5,242.1884479,5.034782609,2.791025641,8.410958904,11.82954545,,,6.06969697,3.594117647,9.153671215,14.32044888,90.5890411,
AlexNew,AlexandraFiord,Nunavut,78.87839,-75.77746,7.2,7.2,240.3650005,3.638043478,0.804545455,7.331818182,69.91044776,111.5714286,,4.536670294,1.838457207,7.460472973,6.823032224,8.23433584,0
AlexOld,AlexandraFiordOld,Nunavut,78.8833,-75.8,7.2,7.2,,,,,,,,,,,,,
ATQ,AtqasukDryAlaska,Alaska,70.45373011,-157.4073879,20,NA,95.02172001,4.463043478,1.744565217,7.62826087,9.902173913,3.152173913,,3.859570815,1.211853002,6.962111801,7.198240166,2.536842105,98.58695652
AXE,AxelHeibergIsland,Nunavut,79.41508333,-90.74811111,2,2,114.6522917,3.638043478,0.804545455,7.331818182,69.91044776,111.5714286,,4.536670294,1.838457207,7.460472973,6.823032224,8.23433584,0
BARD,BarrowDryAlaska,Alaska,71.31502696,-156.5988572,20,NA,7.402722838,4.463043478,1.744565217,7.62826087,9.902173913,3.152173913,,3.859570815,1.211853002,6.962111801,7.198240166,2.536842105,98.58695652
BY,Bylot,Nunavut,73.15691,-79.96867,10.5,10.5,83.20037926,4.862222222,1.620652174,8.064444444,13.14444444,,115,5.480415945,2.210311958,9.075628794,9.189581554,25.3164557,154.9270073
CR,ClydeRiver,Nunavut,70.4844,-68.5131,10.5,10.5,0.181230467,3.042857143,-0.083695652,6.140659341,8.989010989,,252.0652174,3.947716682,0.854273128,6.905291005,7.352242744,137.056962,185.7875458
DEN,DenaliAlaska,Alaska,63.0769167,-146.2230278,12.5,12.5,32.78771403,10.73043478,4.201086957,16.37173913,24.83695652,0,,10.25604027,4.210738255,15.62516779,23.5738255,8.239202658,
DLG,DiskoLyngmarksfjeldGreenland,Greenland,69.2703,-53.5635,11.5,11.5,69.50335317,5.034782609,2.791025641,8.410958904,11.82954545,,,6.06969697,3.594117647,9.153671215,14.32044888,90.5890411,
DQG,DiskoQeqertarsuaqGreenland,Greenland,69.2541,-53.5176,11.5,11.5,67.12113785,5.034782609,2.791025641,8.410958904,11.82954545,,,6.06969697,3.594117647,9.153671215,14.32044888,90.5890411,
EUR,Eurkea,Nunavut,80.12105556,-84.80794444,8.5,8.5,2.761810271,3.638043478,0.804545455,7.331818182,69.91044776,111.5714286,,4.536670294,1.838457207,7.460472973,6.823032224,8.23433584,0
FOS,FosheimPeninsula,Nunavut,80.12105556,-84.80794444,8.5,8.5,26.49323786,3.638043478,0.804545455,7.331818182,69.91044776,111.5714286,,4.536670294,1.838457207,7.460472973,6.823032224,8.23433584,0
GEN,GentianPeak,Saximontana,49.9511,-122.99,10.5,10.5,13.16812533,12.08571429,8.735714286,14.70945946,0.066666667,0,,11.04824561,6.391230068,12.93189066,12.5987055,80.97424412,
GF,GriseFiord,Nunavut,76.4261,-82.9094,9.5,9.5,1.073653148,2.314814815,-0.275555556,4.893902439,11.86075949,,158.6813187,3.180542986,0.630309989,6.038183935,9.716507177,60.41666667,152.7731092
HAR,HarrisonHut,Outgroup,50.5206,-123.4319,10.5,10.5,46.88959991,15.23695652,8.401086957,22.025,8.032608696,,10.76086957,15.29888889,8.299136442,20.31493955,17.8825332,106.6666667,19.375
HAZ,LakeHazenNunavut,Nunavut,81.82744444,-71.33658333,5.5,5.5,155.4096297,1.974725275,-0.640217391,4.641758242,7.879120879,89.42857143,234.5652174,1.964897579,-0.534391081,4.648623064,4.764869888,59.15254237,238.125
IG,IlulissatGreenland,Greenland,69.207,-51.105,9.5,9.5,89.62672459,5.034782609,2.791025641,8.410958904,11.82954545,,,6.06969697,3.594117647,9.153671215,14.32044888,90.5890411,
IMN,ImnavaitCreek,Alaska,68.61736,-149.3092,20,NA,0.474626652,8.933695652,5.095652174,12.48043478,21.53488372,17.94565217,,9.268232891,5.411440245,12.78565657,20.94577259,18.41347905,
Iq,IqaluitNunavut,Nunavut,63.7467,-68.517,8.5,8.5,1.664006265,6.678651685,2.956043956,10.33820225,13.4137931,,346.5217391,2.176190476,3.277777778,10.39361702,16.36942675,,216.1904762
Kik,QikiqtarjuaqNunavut,Nunavut,67.5556,-64.0257,13,13,0.701332001,3.010869565,0.097826087,5.889130435,7.663043478,,72.33766234,3.573044218,0.897792869,6.534517766,8.941830624,105.0653595,70.07722008
KL,KluanePlateau,Alaska,60.97172,-138.41549,12,12,50.48716645,11.72359551,4.782608696,18.65393258,16.78651685,,205.9782609,12.38022388,4.800059207,19.17582801,10.01008827,0,255.8148148
KUQ,KugluktukNunavut,Nunavut,67.798439,-115.231717,10.5,10.5,3.987815024,10.11956522,5.666666667,16.06153846,9.989010989,12.22222222,,8.905108696,4.381483547,13.29341885,12.22210636,2.162162162,
LAJ,LatnjajaureFieldStation,Europe,68.35,18.5,10,10,120.6598884,9.189130435,4.550793651,13.46,73,432.4,,10.00732484,5.812416357,14.34430168,41.02317881,426.2592593,
LON,LongyearbyenSvalbard,Europe,78.2232,15.6267,13,13,4.694293303,5.901086957,4.395652174,7.876086957,2.391304348,0,,5.772553081,4.135300207,7.822774327,6.31209053,0,
MAT,ToolikMoistAcidic,Alaska,68.63444,-149.6433,12,12,14.00397021,8.933695652,5.095652174,12.48043478,21.53488372,17.94565217,,9.268232891,5.411440245,12.78565657,20.94577259,18.41347905,
MER,HarrisonHut,Outgroup,50.5206,-123.4319,10.5,10.5,46.88959991,15.23695652,8.401086957,22.025,8.032608696,,10.76086957,15.29888889,8.299136442,20.31493955,17.8825332,106.6666667,19.375
MIL,12MileMeadow,Alaska,65.3975278,-145.9730278,20,NA,18.34658062,12.57934783,9.229347826,16.35326087,22.85869565,0,,11.54517766,8.325662719,15.76920474,26.25734116,0,
MNT,ToolikMoistNon-Acidic,Alaska,68.62361,-149.6103,20,NA,12.58379437,8.933695652,5.095652174,12.48043478,21.53488372,17.94565217,,9.268232891,5.411440245,12.78565657,20.94577259,18.41347905,329.9635036
PC,PikaCamp,Alaska,61.21287,-138.27715,13,13,43.86270877,11.93478261,5.755434783,18.06630435,21.27173913,,347.3913043,12.18388278,5.457757009,18.15917603,17.59363296,,305.6034483
PEA,PearcePoint,NWT,69.822253,-122.662478,9.5,9.5,70.14230557,8.533333333,5,11.93076923,,,317.6923077,8.369444444,3.432212389,11.42393993,10.50195313,2.850877193,
PET,PetuniaSvalbard,Europe,78.683333,16.55,15,15,53.86614051,5.901086957,4.395652174,7.876086957,2.391304348,0,,5.772553081,4.135300207,7.822774327,6.31209053,0,
PHE,"Phelix Hut, BC",Outgroup,50.5206,-123.4319,10.5,10.5,36.95556283,19.54565217,10.57934783,28.46195652,2.869565217,,,19.6689781,10.61684378,26.70414233,11.14835787,0.158730159,335.8378378
QHI,QikiqtarukHerschelIsland,NWT,69.58272398,-138.893165,15,15,1.982042984,7.748235294,4.833333333,10.55348837,21.42168675,,308.6813187,7.629714286,4.176927639,10.25404872,9.855278766,184.0540541,
SAG,SagwonAlaksa,Alaska,69.424382,-148.697605,20,NA,0.57075441,9.341304348,4.944565217,13.7923913,18.70652174,0,,9.548138118,4.988761002,14.05944482,12.0794621,7.1875,
SAM,SamoylovRussia,Russia,72.37723,126.4792,20,NA,122.0759488,6.977173913,2.518,10.47654321,10.16666667,310.7058824,,6.914906832,3.519178853,10.73283741,13.95954357,114.2941176,0
SVN,SverdrupPass,Nunavut,79.1167,-80.6667,7.8,7.8,143.3212263,3.638043478,0.804545455,7.331818182,69.91044776,111.5714286,,4.536670294,1.838457207,7.460472973,6.823032224,8.23433584,
SVO,SverdrupPassAncient,Nunavut,79.1167,-80.6667,7.8,7.8,,,,,,,,,,,,,
SW,PaddusSweden,Europe,68.32472,18.95833,9,9,109.2710897,9.189130435,4.550793651,13.46,73,432.4,,10.00732484,5.812416357,14.34430168,41.02317881,426.2592593,328.9259259
YAM,YAMBAbeach,Alaska,65.86667,-111.5333,9.5,9.5,18.30145435,11.06351351,6.1025,16.27341772,,,342.4175824,9.911382879,4.902302243,14.36009473,12.49430199,21.30915577,
YED,YedonaRussia,Russia,72.61333,126.4295,20,NA,142.9722812,6.977173913,2.518,10.47654321,10.16666667,310.7058824,,6.914906832,3.519178853,10.73283741,13.95954357,114.2941176,
ZAC,ZackenbergGreenland,Greenland,74.47,-20.5617,10.5,10.5,260.9960113,3.561956522,0.732608696,7.140217391,120,,,3.145941727,0.124889625,6.54771987,27.26048679,91.11587983,
