	N_Europe	N_Alaska	N_Russia	N_NWT	N_Nunavut	TDIVEurAla	TDIVRusAla	migNWTNun	migNunNWT	MaxEstLhood	MaxObsLhood
21.00	257770.00	2021998.00	554466.00	476666.00	2280.00	40646.00	162624.00	0.01	0.03	-7113.58	-6864.55
14.00	174184.00	1396717.00	377134.00	833666.00	3019.00	24865.00	108295.00	0.01	0.02	-7113.70	-6864.55
17.00	205310.00	1425413.00	389626.00	825109.00	4168.00	30592.00	114536.00	0.02	0.03	-7118.56	-6864.55
35.00	251321.00	1733334.00	451858.00	742193.00	3317.00	40660.00	135579.00	0.04	0.07	-7120.13	-6864.55
50.00	277210.00	1967220.00	505551.00	357097.00	4133.00	42514.00	144694.00	0.05	0.08	-7120.19	-6864.55
11.00	261342.00	1771950.00	494678.00	163510.00	4055.00	37515.00	140930.00	0.20	0.32	-7121.06	-6864.55
13.00	222982.00	1626060.00	418603.00	722439.00	4415.00	31076.00	127611.00	0.28	0.42	-7121.19	-6864.55
26.00	170622.00	1133781.00	299913.00	633424.00	3082.00	26418.00	87817.00	0.05	0.10	-7121.19	-6864.55
5.00	143816.00	965022.00	235760.00	262048.00	4283.00	20769.00	69767.00	0.04	0.06	-7121.30	-6864.55
18.00	248137.00	1678873.00	462709.00	42628.00	4881.00	37699.00	139619.00	0.07	0.10	-7121.69	-6864.55
7.00	211732.00	1253512.00	360886.00	252225.00	4462.00	31048.00	103043.00	0.09	0.13	-7121.70	-6864.55
22.00	229091.00	1576057.00	431445.00	794284.00	4206.00	38015.00	121660.00	0.09	0.14	-7121.70	-6864.55
33.00	224760.00	1727095.00	487274.00	751742.00	4923.00	33317.00	138364.00	0.17	0.25	-7121.74	-6864.55
29.00	323280.00	2227061.00	604703.00	484280.00	4769.00	46272.00	173351.00	0.38	0.53	-7121.80	-6864.55
31.00	272893.00	1798326.00	462998.00	761760.00	4684.00	41433.00	133397.00	0.24	0.34	-7121.81	-6864.55
37.00	316640.00	2113308.00	523294.00	458078.00	4016.00	46644.00	154290.00	0.47	0.75	-7121.91	-6864.55
1.00	263413.00	1431768.00	402499.00	630037.00	4739.00	42955.00	111759.00	0.31	0.42	-7121.95	-6864.55
39.00	301777.00	2133785.00	590669.00	232138.00	5096.00	47511.00	165011.00	0.34	0.44	-7122.16	-6864.55
43.00	298168.00	1877124.00	493517.00	213952.00	3936.00	45183.00	145081.00	0.23	0.35	-7122.17	-6864.55
36.00	212518.00	1363892.00	387797.00	721179.00	4813.00	32474.00	115450.00	0.21	0.29	-7122.22	-6864.55
34.00	300023.00	1990074.00	516503.00	573046.00	4168.00	44019.00	152148.00	0.25	0.39	-7122.35	-6864.55
27.00	270106.00	1665667.00	455583.00	516372.00	3730.00	44445.00	127165.00	0.30	0.47	-7122.39	-6864.55
6.00	357053.00	2262927.00	668369.00	774833.00	4797.00	50909.00	183176.00	0.33	0.45	-7122.49	-6864.55
46.00	303430.00	2089909.00	598917.00	380375.00	5003.00	46833.00	173705.00	0.35	0.48	-7122.51	-6864.55
19.00	278062.00	1887738.00	508761.00	82908.00	5647.00	43456.00	145839.00	0.25	0.32	-7122.64	-6864.55
30.00	186760.00	1275645.00	346263.00	277014.00	5506.00	29245.00	103630.00	0.10	0.14	-7122.71	-6864.55
3.00	204645.00	1368178.00	343235.00	415305.00	4855.00	31748.00	100187.00	0.35	0.47	-7122.97	-6864.55
48.00	269884.00	1602390.00	446141.00	607713.00	5231.00	37554.00	131305.00	0.29	0.36	-7122.98	-6864.55
44.00	321993.00	2325969.00	592487.00	162449.00	5395.00	45634.00	180701.00	0.31	0.41	-7122.99	-6864.55
42.00	260726.00	1681334.00	458786.00	74168.00	6264.00	38294.00	130003.00	0.29	0.36	-7123.11	-6864.55
9.00	318472.00	2219864.00	549217.00	158411.00	4036.00	45601.00	162838.00	0.42	0.66	-7123.16	-6864.55
4.00	312189.00	2215338.00	578017.00	9226.00	624970.00	48434.00	171642.00	0.01	0.02	-7123.52	-6864.55
10.00	295821.00	2104306.00	609574.00	9295.00	201793.00	42448.00	173233.00	0.28	0.53	-7124.22	-6864.55
15.00	204822.00	1627857.00	424521.00	9178.00	299718.00	30904.00	128373.00	0.03	0.04	-7125.23	-6864.55
25.00	545715.00	3322883.00	899351.00	8915.00	750875.00	85780.00	270115.00	0.29	0.50	-7125.25	-6864.55
23.00	323704.00	2098809.00	577367.00	9873.00	322529.00	47499.00	160900.00	0.24	0.41	-7125.45	-6864.55
49.00	330151.00	2047527.00	623297.00	8862.00	539428.00	50832.00	178545.00	0.05	0.07	-7125.52	-6864.55
41.00	345015.00	2060405.00	617932.00	8457.00	641571.00	54595.00	177316.00	0.29	0.46	-7125.53	-6864.55
20.00	204402.00	1405746.00	384106.00	9278.00	585057.00	31795.00	107935.00	0.21	0.38	-7125.57	-6864.55
2.00	273929.00	1854303.00	517409.00	10512.00	556456.00	45977.00	152698.00	0.15	0.28	-7125.78	-6864.55
32.00	327858.00	2612559.00	709293.00	10034.00	863812.00	44398.00	209071.00	0.20	0.38	-7125.89	-6864.55
28.00	265233.00	1880518.00	519827.00	10201.00	708612.00	45155.00	150594.00	0.24	0.44	-7125.92	-6864.55
24.00	369484.00	2564640.00	690624.00	9345.00	572011.00	61981.00	188142.00	0.16	0.28	-7125.96	-6864.55
40.00	326787.00	2076765.00	564698.00	9718.00	84048.00	52547.00	170643.00	0.25	0.45	-7126.00	-6864.55
8.00	240994.00	1716001.00	483581.00	9024.00	614466.00	38174.00	140142.00	0.23	0.42	-7126.02	-6864.55
16.00	335306.00	2146878.00	655986.00	10316.00	310484.00	55796.00	180991.00	0.10	0.20	-7126.04	-6864.55
12.00	336172.00	1993800.00	522204.00	8825.00	354610.00	49760.00	147938.00	0.21	0.37	-7126.28	-6864.55
38.00	181010.00	1209945.00	335168.00	8025.00	200421.00	29944.00	100702.00	0.32	0.49	-7126.33	-6864.55
45.00	235435.00	1587341.00	428682.00	10350.00	77849.00	38568.00	123589.00	0.18	0.36	-7126.36	-6864.55
