V1 025 AlexNew AlexOld ATQ AXE BARD BY CR DEN DLG DQG EUR FOS GEN GF HAR HAZ IG IMN Iq Kik KL KUQ LAJ LON MAT MER MIL MNT PC PEA PET PHE QHI SAG SAM SVN SVO SW YAM YED ZAC
025 0 1541.09341605946 1541.82518329125 3759.34630065442 1818.50697814658 3670.39030878665 1243.57680814567 755.414522518139 4018.26123163045 305.410131625581 303.57018423422 1768.4262934813 1768.4262934813 4201.26037264292 1488.93791901599 4170.61685500875 1772.39684530321 313.662127157787 3677.39533672546 771.269747131181 475.201259260418 3909.36290362859 2570.1822986655 2911.48471955948 2458.30145974175 3685.97751251279 4170.61685500875 3823.06310747941 3685.83219362681 3884.82065247883 2739.76572799467 2472.34531260655 4170.61685500875 3290.01996000426 3598.45587170523 4587.4755281388 1631.44639077678 1631.44639077678 2929.16430491428 2524.55843465569 4561.12640605664 1479.34379342929
AlexNew 1541.09341605946 0 0.732258251951388 2336.08213354506 319.526582855051 2239.39861855533 648.199039749539 959.296044884813 2823.59090796797 1251.81693726353 1254.17287029274 229.888528655778 229.888528655778 3717.45273088681 321.942749184765 3664.50639211773 339.384158766173 1296.07436273113 2343.97250396151 1704.98444705409 1312.96344559862 2869.55281443703 1703.19422928639 2785.44389880675 1825.02794810975 2349.36000223663 3664.50639211773 2586.31341152355 2349.70177364038 2841.92528147003 1661.06323028168 1802.04467233614 3664.50639211773 2031.34314514716 2254.53150214241 3151.42915890372 107.518615909249 107.518615909249 2796.5520770359 1827.14901663857 3125.65905541371 1437.71763310837
AlexOld 1541.82518329125 0.732258251951388 0 2335.42649061428 318.89531403023 2238.73900907296 648.633840088228 959.959258404765 2823.07631279419 1252.54876098219 1254.90467343807 229.161828805943 229.161828805943 3717.31603231312 322.109251053841 3664.36002886518 338.949091465504 1296.80272913769 2343.37914345223 1705.62329154312 1313.65546343993 2869.1339993971 1702.97572494755 2785.59907201143 1825.00250119208 2348.76428906644 3664.36002886518 2585.77860829874 2349.10638943408 2841.50563923555 1660.69460448775 1801.9986397377 3664.36002886518 2030.8138128008 2253.93313070198 3150.77955084851 106.896773097782 106.896773097782 2796.70313490035 1827.02845406251 3125.01009131881 1438.10816047025
ATQ 3759.34630065442 2336.08213354506 2335.42649061428 0 2017.44047254256 100.539796820496 2526.44321388823 3023.27871160712 955.466303161339 3512.20299897598 3514.74677839293 2120.54112667559 2120.54112667559 2895.8785361173 2282.31306815099 2825.12459108347 2300.09568067598 3577.50714825294 376.238987038389 3572.41049144178 3382.09989345677 1358.38215665076 1667.99454376206 4596.35165476194 3491.36829911779 364.241535393137 2825.12459108347 738.002949074241 366.041915482282 1339.36003319311 1301.89460632636 3441.65110920397 2825.12459108347 710.180547994695 352.413386104892 2535.92697300656 2229.04990622835 2229.04990622835 4599.81637633211 1920.83318690268 2523.17389666232 3638.09262313974
AXE 1818.50697814658 319.526582855051 318.89531403023 2017.44047254256 0 1921.10753550545 751.732149798817 1170.04603962212 2516.11273611297 1540.21894580566 1542.66314040587 141.677649251048 141.677649251048 3514.36348321832 379.950030727074 3458.17178515292 440.669215690363 1592.27094504421 2026.10922048861 1886.0871575243 1539.48739841786 2582.4621152944 1481.79375360832 3010.49697759585 1996.39855432012 2031.30957067519 3458.17178515292 2275.5794115926 2031.67680820357 2554.67091613653 1391.18864651824 1966.3475902168 3458.17178515292 1721.8813858883 1936.29073777618 2992.88034022808 212.053294026455 212.053294026455 3020.30883982976 1640.09181479322 2967.76473632165 1727.6322682482
BARD 3670.39030878665 2239.39861855533 2238.73900907296 100.539796820496 1921.10753550545 0 2440.41377347326 2937.04494692541 1019.27715750973 3420.92129983832 3423.46109156249 2022.90748759331 2022.90748759331 2926.9243614817 2190.5721687429 2856.24106297885 2200.35129784643 3485.32438490419 409.734897095365 3495.74170423313 3297.56290349641 1403.44619463137 1624.80645461906 4499.03917512026 3393.88648143164 399.711378603654 2856.24106297885 789.437164124778 401.492131419607 1383.11437935334 1254.37286417325 3344.35750713187 2856.24106297885 686.367562119981 363.330104542898 2497.10753601654 2132.50491905723 2132.50491905723 4502.61847341531 1882.23055054026 2483.48902266827 3537.70992681923
BY 1243.57680814567 648.199039749539 648.633840088228 2526.44321388823 751.732149798817 2440.41377347326 0 496.866104428031 2792.23683978606 1032.52565214739 1035.06065257156 786.724296754196 786.724296754196 3307.14031504093 374.811363060722 3261.94276964746 987.582847676536 1114.99520002117 2433.83983345439 1145.21566783183 859.989747644683 2726.85301736005 1417.61975650248 3248.12654673079 2387.35460331581 2442.45751980878 3261.94276964746 2587.73470231389 2442.30504180571 2700.87126616659 1522.28416246423 2372.39979203294 3261.94276964746 2048.87309104464 2355.219434748 3743.42448661354 665.531390074835 665.531390074835 3261.5143924032 1450.49943327419 3718.20093556199 1777.79796355763
CR 755.414522518139 959.296044884813 959.959258404765 3023.27871160712 1170.04603962212 2937.04494692541 496.866104428031 0 3263.84552324753 588.343341690743 590.67209958131 1160.3632112293 1160.3632112293 3588.28042387615 801.059225153117 3550.21580015868 1268.05467324864 682.126952354788 2926.69218947025 751.405473995069 372.489900297918 3167.14264257217 1833.26335901439 3132.46700715726 2413.63682971586 2935.56267107988 3550.21580015868 3067.64878606214 2935.36788709559 3142.06888159956 1986.09817369615 2410.24487945109 3550.21580015868 2535.61150273692 2849.23318030268 4110.06780979295 1022.01693087111 1022.01693087111 3147.82916552424 1814.53901016242 4084.23800975952 1621.63591710685
DEN 4018.26123163045 2823.59090796797 2823.07631279419 955.466303161339 2516.11273611297 1019.27715750973 2792.23683978606 3263.84552324753 0 3824.75881756046 3827.29291974304 2646.75008750028 2646.75008750028 2022.88334808807 2664.73958115688 1952.97776110448 2893.98568861709 3906.37803748922 633.46557612695 3640.68748174573 3578.07190115387 470.872753140916 1511.91471434555 5371.52500741799 4272.95155011892 638.823169314697 1952.97776110448 258.987471421407 637.297625705519 463.107202852609 1279.01163217057 4227.47700157268 1952.97776110448 795.093919257038 716.350832801085 3472.03225769234 2719.18595788179 2719.18595788179 5377.28999810278 1674.74533569164 3460.82324775742 4238.1341135245
DLG 305.410131625581 1251.81693726353 1252.54876098219 3512.20299897598 1540.21894580566 3420.92129983832 1032.52565214739 588.343341690743 3824.75881756046 0 2.56095291309923 1480.94108709331 1480.94108709331 4155.1542672987 1230.51565232712 4119.64310357892 1470.65457220781 97.5471484913704 3451.09818566101 902.382407847882 469.608506445184 3747.29879998308 2418.10944405112 2742.41475171883 2203.89916234297 3459.01693095391 4119.64310357892 3618.99917431808 3458.98043998685 3721.86738204493 2552.90927821361 2214.01433113982 4119.64310357892 3076.55975839378 3369.28415785984 4282.12998302935 1346.16849986386 1346.16849986386 2759.35004866197 2402.74374610634 4255.78343377685 1262.22206150311
