Pop.x.x	V1.x	V2.x	V3.x	V4.x	V5.x	F_MISS.x	N_MISS.x	O.HOM..x	E.HOM..x	N_SITES.x	FIS.x	Lat	Long	Elevation	Avg.Temp.x	Leaf_weight.x	Site	Collector	Date	Count	Pop	Pop_name	Group	Lat.x	Long.x	Ice_time.x	Ice_time2	Clim_distance	tavg	tmin	tmax	prcp	snwd	wfsg	tavglong	tminlong	tmaxlong	prcplong	snwdlong	wfsglong	TajimaAvg	TajimaSD	TajimaVar	SumSitePi	Site_SD_Pi	Site_var_Pi	SumWindPi	Wind_SD_Pi	Wind_var_Pi	Lat_shift	Long_shift	PC1	PC2	PC3	PC4	PC5	PC6	Max_Admix_Group	Admix_Location	map_colours_5g	lon_shift.utm	lat_shift.utm	lon.utm	lat.utm
025	0.0260206	0.2146307	1e-05	0.725367	0.0339716	0.0030371556	28.2	6631	7154.13	10113.6	-0.176283	66.5326	-53.41563333	20	10.5	0.996825396666667	ItilleqFiordGreenland	RodgerBull	Aug202017	10	025	ItilleqFiordGreenland	Greenland	66.5326	-53.41563333	11.5	11.5	242.1884479	5.034782609	2.791025641	8.410958904	11.82954545	NA	NA	6.06969697	3.594117647	9.153671215	14.32044888	90.5890411	NA	0.120365052129659	1.07062476021508	1.1462373771856	2969.914505	0.17287500812882	0.0298857684355397	19.668072694	0.00251401654300503	6.32027917850298e-06	63.7	-53.5	-0.0140497837171607	0.0148719445101611	0.0513590318462302	0.0601217095172442	0.0157829615062438	0.00832973646147863	V4	Greenland	orange	-2336640.19683009	-1729022.79200117	-2075385.65189011	-1540438.98128998
AlexNew	0.0158902142857143	0.825466214285714	1e-05	0.00456092857142857	0.1540725	0.004208018	39.0714285714286	8373.57142857143	8515.62857142857	11537.9285714286	-0.0466742857142857	78.8647775	-75.8007479285714	16	5.5	NA	AlexandraFiord	CassandraElphinstone	c("July152017", "July72017", "July92019", "July212017", "July312017")	14	AlexNew	AlexandraFiord	Nunavut	78.87839	-75.77746	7.2	7.2	240.3650005	3.638043478	0.804545455	7.331818182	69.91044776	111.5714286	NA	4.536670294	1.838457207	7.460472973	6.823032224	8.23433584	0	0.0885206332553161	1.04913582004172	1.10068596889461	3038.0371112	0.167549448759055	0.0280728177794632	20.05664646	0.00239698599153096	5.74554184359566e-06	78	-64	-0.0135213629982871	0.0146596942708075	0.0313675025383186	-0.106174144237623	-0.00650707305044419	-0.0210617784610773	V2	Europe	yellow	-1176003.38904391	-573575.177100613	-1174894.53067584	-297785.864080422
AlexOld	1.08333333333333e-05	0.921705666666667	1e-05	1e-05	0.0782636666666667	0.0412852333333333	383.333333333333	4967.5	4843.86666666667	7417.83333333333	0.0513966666666667	78.845752	-75.7971216666667	NA	NA	NA	AlexandraFiordOld	CassandraElphinstone	July312017	6	AlexOld	AlexandraFiordOld	Nunavut	78.8833	-75.8	7.2	7.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16061634804152	1.04071065144413	1.08307866002927	2676.379539	0.176465011694606	0.0311399003523774	16.610209629	0.00240872642664745	5.80196299842979e-06	78	-64	-0.0130028143918989	0.0192960360529258	0.0349280879333197	-0.117919164000902	-0.0123898459662173	-0.0235740513713482	V2	Europe	yellow	-1176003.38904391	-573575.177100613	-1174489.70143599	-297191.583240872
ATQ	0.0061488	0.0363404	1e-05	0.0060045	0.9514964	0.003489499	32.4	8632.1	8991.33	12574.6	-0.100059	70.45373011	-157.4073879	22	NA	0.696984394333333	AtqasukDryAlaska	RobertHollister,JacobHarris	June242017	10	ATQ	AtqasukDryAlaska	Alaska	70.45373011	-157.4073879	20	NA	95.02172001	4.463043478	1.744565217	7.62826087	9.902173913	3.152173913	NA	3.859570815	1.211853002	6.962111801	7.198240166	2.536842105	98.58695652	0.0668993195621194	1.00768688121268	1.01543285056813	3598.412645	0.176783101517708	0.0312522649822204	23.803006147	0.00243860517471977	5.94679519817006e-06	68	-168.5	-0.011849718136478	2.44895423113504e-05	-0.0688278944151965	-0.0103129294050519	-0.00419345793553725	-0.0270864415406975	V5	Alaska	deepskyblue	-482266.031090194	2370413.27355977	-823580.626852135	1979244.6780759
AXE	1.06666666666667e-05	0.0234567777777778	1e-05	0.287195222222222	0.689327222222222	0.0115120022222222	106.888888888889	6188.88888888889	6315.57777777778	8940.11111111111	-0.0481488888888889	79.41508333	-90.74811111	NA	-2	0.804376658	AxelHeibergIsland	PaulSokoloff	July122017	9	AXE	AxelHeibergIsland	Nunavut	79.41508333	-90.74811111	2	2	114.6522917	3.638043478	0.804545455	7.331818182	69.91044776	111.5714286	NA	4.536670294	1.838457207	7.460472973	6.823032224	8.23433584	0	0.0473349122045807	1.04653850338645	1.09524283907035	2660.179919	0.166053348263299	0.0275737144694523	17.3070644015	0.0024312051298571	5.9107583834435e-06	79	-104	-0.0131230844385239	0.013288488743223	-0.0226676094616518	0.0418576140858827	0.0115091447165302	-0.0559610659925147	V5	Alaska	deepskyblue	-1163106.18124332	289994.941263956	-1153128.66154029	15057.2589765764
BARD	0.0021833	0.0781545	1e-05	0.0272537	0.8923985	0.0038664517	35.9	8533.6	8906.11	12339.5	-0.108336	71.31502696	-156.5988572	5	4	0.952491952666667	BarrowDryAlaska	RobertHollister,JacobHarris	July82017	10	BARD	BarrowDryAlaska	Alaska	71.31502696	-156.5988572	20	NA	7.402722838	4.463043478	1.744565217	7.62826087	9.902173913	3.152173913	NA	3.859570815	1.211853002	6.962111801	7.198240166	2.536842105	98.58695652	0.0217753503718407	1.02886366679122	1.05856044484307	3448.875578	0.174367229487562	0.030403930719168	22.799163395	0.00238369129850894	5.68198420658724e-06	71	-166	-0.0118378383268985	0.00236776983736428	-0.052674847430832	-0.0146822316768683	-0.00518332987440656	-0.0350846989794594	V5	Alaska	deepskyblue	-503865.273538071	2020893.23217732	-813248.078354594	1879202.58963862
BY	1.04e-05	0.6389097	1e-05	0.0650029	0.2960671	0.0026494351	24.6	6816.5	7003.18	9989.7	-0.062466	73.15691	-79.96867	20	4.5	0.809567901333333	c("BylotIslandPos1", "BylotIslandPos2", "BylotIslandPos3")	EstherLévesqueandVincentMarie	2017-07-11	10	BY	Bylot	Nunavut	73.15691	-79.96867	10.5	10.5	83.20037926	4.862222222	1.620652174	8.064444444	13.14444444	NA	115	5.480415945	2.210311958	9.075628794	9.189581554	25.3164557	154.9270073	0.168361015523357	1.03032411098379	1.06156777367453	2996.416935	0.173478382467257	0.030094749183456	19.852508285	0.00249060611996428	6.20311884480352e-06	73.15691	-79.96867	-0.0138252616118025	0.0181422126489453	0.0232487604948673	-0.0508364219133278	-0.00647010680976441	-0.0218775985191109	V2	Europe	yellow	-1814632.34428116	-320991.853859361	-1814632.34428116	-320991.853859361
CR	1.09e-05	0.0121663	1e-05	0.572223	0.4155899	0.0040495411	37.6	7245.3	7362.84	10480.7	-0.037332	70.4844	-68.5131	27	4.5	0.857936508	ClydeRiver	CassandraElphinstone	July22017	10	CR	ClydeRiver	Nunavut	70.4844	-68.5131	10.5	10.5	0.181230467	3.042857143	-0.083695652	6.140659341	8.989010989	NA	252.0652174	3.947716682	0.854273128	6.905291005	7.352242744	137.056962	185.7875458	0.162016008735076	1.02037315475798	1.04116137495075	3131.348916	0.174502110929391	0.0304509867188134	20.707399513	0.00245122230102267	6.00849076903088e-06	70.4844	-68.5131	-0.013591409930782	0.016771364586308	0.00530376127168963	0.0722929699594634	0.00732931919693147	-0.0150847537460905	V4	Greenland	orange	-1991579.88836704	-783978.222541591	-1991579.88836704	-783978.222541591
DEN	1.04e-05	0.0014459	1e-05	0.0193071	0.9792266	0.0051911682	48.2	7546	7856.35	11139.1	-0.094196	63.0769167	-146.2230278	1022	7	1.025887446	DenaliAlaska	MichaelMoody	July312017	10	DEN	DenaliAlaska	Alaska	63.0769167	-146.2230278	12.5	12.5	32.78771403	10.73043478	4.201086957	16.37173913	24.83695652	0	NA	10.25604027	4.210738255	15.62516779	23.5738255	8.239202658	NA	0.136294157739255	1.0147111210117	1.02963865910482	3300.089746	0.176512983000496	0.0311568331677332	21.783265686	0.00246497048093039	6.07607947185818e-06	63.0769167	-146.2230278	-0.0111391364623772	0.00559619532144548	-0.0677152911710466	0.00253906331823996	0.0114187253160499	0.0503367574202484	V5	Alaska	deepskyblue	-1655723.18737297	2475441.39620585	-1655723.18737297	2475441.39620585
DLG	1.09e-05	0.0038906	1e-05	0.9960785	1e-05	0.0014862693	13.8	2338.7	3504.4	5399.4	-0.61505	69.2703	-53.5635	390	6	0.931953071	DiskoLyngmarksfjeldGreenland	PerMolgaard	2017-06-29	10	DLG	DiskoLyngmarksfjeldGreenland	Greenland	69.2703	-53.5635	11.5	11.5	69.50335317	5.034782609	2.791025641	8.410958904	11.82954545	NA	NA	6.06969697	3.594117647	9.153671215	14.32044888	90.5890411	NA	0.56649322392423	1.28901309672345	1.66155476352458	1899.431609	0.165260824978224	0.0273111402724832	12.613692355	0.00281173051639836	7.9058284968458e-06	72	-58	-0.0146054947022364	0.0259694358040195	0.0816321132514188	0.126700765088774	0.0125774972310048	0.0251147388198843	V4	Greenland	orange	-1671790.72329034	-1044650.78579046	-1831266.38955308	-1351927.5832775
