Pop SumPi SD_Pi var_Pi
025 2969.914505 0.17287500812882 0.0298857684355397
AlexNew 3038.0371112 0.167549448759055 0.0280728177794632
AlexOld 2676.379539 0.176465011694606 0.0311399003523774
ATQ 3598.412645 0.176783101517708 0.0312522649822204
AXE 2660.179919 0.166053348263299 0.0275737144694523
BARD 3448.875578 0.174367229487562 0.030403930719168
BY 2996.416935 0.173478382467257 0.030094749183456
CR 3131.348916 0.174502110929391 0.0304509867188134
DEN 3300.089746 0.176512983000496 0.0311568331677332
DLG 1899.431609 0.165260824978224 0.0273111402724832
DQG 2549.16564 0.163026199599306 0.0265775417557929
FOS 2797.172819 0.189930451074264 0.0360735762452733
GEN 1388.695898 0.147994440792252 0.0219023545054115
GF 2809.000502 0.221114710492925 0.04889171519637
HAZ 3033.648184 0.17169110831023 0.029477836672795
IG 2804.387516 0.173255756764571 0.030017557252064
IMN 3533.796526 0.175431858366246 0.0307763369298346
Iq 3038.729036 0.17256413440833 0.0297783804840962
Kik 3032.301394 0.172659836916205 0.0298114192839305
KL 5273.590529 0.201399263483307 0.0405616633316187
KUQ 3246.93067 0.182600055168339 0.0333427801474805
LAJ 2729.63607 0.17125794007603 0.0293292820390852
LON 2763.608801 0.167793545515131 0.0281546739165383
MAT 3744.586356 0.180165132672509 0.0324594750309029
MIL 3486.720365 0.17523014334666 0.0307056031372911
MNT 3565.439007 0.174087770724183 0.0303065519157156
PC 4424.651104 0.179165525635547 0.0321002855762617
PEA 3081.833252 0.175231327660402 0.0307060181936272
PET 2772.620107 0.180044412185695 0.0324159903592925
QHI 3670.167109 0.180119058326598 0.0324428751724603
SAG 3488.666381 0.17359579039419 0.0301354984425834
SAM 2866.883825 0.178847033095884 0.0319862612472002
SVN 2051 0.280935215267514 0.0789245951774043
SVO 2542 0.308525914211187 0.0951882397398484
SW 2805.453311 0.170680640359517 0.0291318809935348
YAM 3017.993193 0.177168991657327 0.0313888516048741
YED 3127.806839 0.179627564283284 0.0322660618503453
ZAC 2928.197987 0.178968331629184 0.0320296637261336
