Sample_ID,New_ID,Site,Population,Year,Geo_Region,Collection,ID.1,Project,ProcessingSheetId,Result.File.Type,Old_Site,Paper_ID,Extraction.Plate,Position,Nanodrop.ng.uL,X260.280,X260.230,Qubit..ng.uL.,Quality.Sample.Plate,Position.1,Volume,Volume.for.150.ng,Volume.Dispensed,Submission.Plate,Position.2,Volume.1,Qubit..ng.uL..1,Notes
NS.1481.002.IDT_i7_29---IDT_i5_29.1,Sweetwater_2010_South_1,Sweetwater,S02,2010,South,Both,1,Mimulus Timeseries Population Angert 2020,1_MPS12345925_C05,FASTQ,Sweetwater,1,R-3,A1,163.2,1.9,2,20.4,Mimulus Plate 1 Quality Extractions Aug 2020,A1,43,8,25,Angert Mimulus Ð 1,A1,25,20.4,
NS.1493.004.IDT_i7_102---IDT_i5_102.2,Sweetwater_2010_South_2,Sweetwater,S02,2010,South,Both,2,Mimulus Timeseries Population Angert 2020,2_MPS12345945_A01,FASTQ,Sweetwater,1,R-3,B1,72,1.9,1.9,6.8,Mimulus Plate 1 Quality Extractions Aug 2020,B1,45,22,25,Angert Mimulus Ð 1,B1,25,6.82,
NS.1481.002.IDT_i7_53---IDT_i5_53.3,Sweetwater_2010_South_3,Sweetwater,S02,2010,South,Both,3,Mimulus Timeseries Population Angert 2020,3_MPS12345925_E05,FASTQ,Sweetwater,1,02-Jan,A1,557.5,1.8,2,14.8,Mimulus Plate 1 Quality Extractions Aug 2020,C1,30,11,25,Angert Mimulus Ð 1,C1,25,14.8,
NS.1481.002.IDT_i7_77---IDT_i5_77.5,Sweetwater_2010_South_5,Sweetwater,S02,2010,South,Both,5,Mimulus Timeseries Population Angert 2020,5_MPS12345925_G05,FASTQ,Sweetwater,1,02-Jan,C1,318.8,1.9,1.8,19.7,Mimulus Plate 1 Quality Extractions Aug 2020,E1,30,8,25,Angert Mimulus Ð 1,E1,25,19.7,
NS.1481.002.IDT_i7_16---IDT_i5_16.6,Sweetwater_2010_South_6,Sweetwater,S02,2010,South,Both,6,Mimulus Timeseries Population Angert 2020,6_MPS12345925_B04,FASTQ,Sweetwater,1,R-5,A1,385.3,1.9,2.3,91.2,Mimulus Plate 1 Quality Extractions Aug 2020,F1,30,2,25,Angert Mimulus Ð 1,F1,25,91.2,
NS.1481.002.IDT_i7_89---IDT_i5_89.7,Sweetwater_2010_South_7,Sweetwater,S02,2010,South,Both,7,Mimulus Timeseries Population Angert 2020,7_MPS12345925_H05,FASTQ,Sweetwater,1,03-Jan,B1,27.5,1.9,2.2,7.1,Mimulus Plate 1 Quality Extractions Aug 2020,G1,70,22,25,Angert Mimulus Ð 1,G1,25,7.13,
NS.1481.002.IDT_i7_6---IDT_i5_6.8,Sweetwater_2010_South_8,Sweetwater,S02,2010,South,Both,8,Mimulus Timeseries Population Angert 2020,8_MPS12345925_A06,FASTQ,Sweetwater,1,R-3,C1,165.3,1.9,2.2,38.9,Mimulus Plate 1 Quality Extractions Aug 2020,H1,43,4,25,Angert Mimulus Ð 1,H1,25,38.9,
NS.1481.002.IDT_i7_18---IDT_i5_18.9,Sweetwater_2011_South_9,Sweetwater,S02,2011,South,Timeseries,9,Mimulus Timeseries Population Angert 2020,9_MPS12345925_B06,FASTQ,Sweetwater,1,03-Jan,D1,14.7,1.7,2.2,10,Mimulus Plate 1 Quality Extractions Aug 2020,A2,65,16,25,Angert Mimulus Ð 1,A2,25,9.99,
NS.1481.002.IDT_i7_30---IDT_i5_30.10,Sweetwater_2011_South_10,Sweetwater,S02,2011,South,Timeseries,10,Mimulus Timeseries Population Angert 2020,10_MPS12345925_C06,FASTQ,Sweetwater,1,03-Jan,E1,27,2,2.1,11,Mimulus Plate 1 Quality Extractions Aug 2020,B2,65,14,25,Angert Mimulus Ð 1,B2,25,11,
NS.1480.001.IDT_i7_131---IDT_i5_131.11,Sweetwater_2011_South_11,Sweetwater,S02,2011,South,Timeseries,11,Test on 12 preliminary samples,11_MPS12345361_H07,FASTQ,Sweetwater,1,02-Jan,H1,224,1.8,1.7,3.2,Mimulus Plate 1 Quality Extractions Aug 2020,C2,30,47,NA,Angert Mimulus Ð 1,C2,NA,3.2,
